	Neighborhood	URL	Title	Latitude	Longitude
132	York University Heights	/wiki/York_University_Heights	York University Heights, Toronto	43.7587808	-79.5194336
133	Bendale	/wiki/Bendale	Bendale, Toronto	43.7535196	-79.2553355
134	Clairlea	/wiki/Clairlea	Clairlea, Toronto	43.7088231	-79.2959856
135	Golden Mile	/wiki/Golden_Mile,_Toronto	Golden Mile, Toronto	43.7278414	-79.2876217
136	Ionview	/wiki/Ionview	Ionview, Toronto	43.7359904	-79.2765146
137	Oakridge	/wiki/Oakridge,_Toronto	Oakridge, Toronto	43.6971738	-79.2748232
138	Scarborough City Centre	/wiki/Scarborough_City_Centre	Scarborough City Centre, Toronto	43.773077	-79.257774
139	Tam O'Shanter – Sullivan	/wiki/Tam_O%27Shanter_%E2%80%93_Sullivan	Tam O'Shanter – Sullivan, Toronto	43.7689975	-79.3018488191115
140	Woburn	/wiki/Woburn,_Toronto	Woburn, Toronto	43.7598243	-79.2252908
141	Islington–City Centre West	/wiki/Islington%E2%80%93City_Centre_West	Islington–City Centre West, Toronto	43.6487953	-79.5490002
142	Long Branch	/wiki/Long_Branch,_Toronto	Long Branch, Toronto	43.5930751	-79.541212
143	Mimico	/wiki/Mimico	Mimico, Toronto	43.6036604	-79.4932037
144	New Toronto	/wiki/New_Toronto	New Toronto, Toronto	43.6007625	-79.505264
145	Rexdale	/wiki/Rexdale	Rexdale, Toronto	43.7213619	-79.5655129
146	Richview	/wiki/Richview,_Toronto	Richview, Toronto	43.6886113	-79.5428312
147	Silverthorn	/wiki/Silverthorn,_Toronto	Silverthorn, Toronto	43.682123	-79.4715724
148	High Park North	/wiki/High_Park_North	High Park North, Toronto	43.6547092	-79.4600712
149	Koreatown	/wiki/Koreatown,_Toronto	Koreatown, Toronto	43.6635564	-79.4184157
150	Lytton Park	/wiki/Lytton_Park	Lytton Park, Toronto	43.7159986	-79.412291
151	Midtown	/wiki/Midtown,_Toronto	Midtown, Toronto	43.7051999	-79.3974155214733
152	Niagara	/wiki/Niagara,_Toronto	Niagara, Toronto	43.6434701	-79.4082484
153	Regent Park	/wiki/Regent_Park	Regent Park, Toronto	43.6607056	-79.3604569
154	Roncesvalles	/wiki/Roncesvalles,_Toronto	Roncesvalles, Toronto	43.6514426	-79.4510381
155	Rosedale	/wiki/Rosedale,_Toronto	Rosedale, Toronto	43.6783556	-79.3807457
156	Runnymede	/wiki/Runnymede,_Toronto	Runnymede, Toronto	43.6655802	-79.4821078
157	Seaton Village	/wiki/Seaton_Village	Seaton Village, Toronto	43.6692756	-79.4159596
158	Toronto Islands	/wiki/Toronto_Islands	Toronto Islands, Toronto	43.6161962	-79.3693582
159	Yonge–Eglinton	/wiki/Yonge%E2%80%93Eglinton	Yonge–Eglinton, Toronto	43.7067479	-79.3983271
160	Bathurst Manor	/wiki/Bathurst_Manor	Bathurst Manor, Toronto	43.76389295	-79.4563669371095
161	Clanton Park	/wiki/Clanton_Park,_Toronto	Clanton Park, Toronto	43.7431757	-79.4517261
162	Downsview	/wiki/Downsview	Downsview, Toronto	43.7492988	-79.462248
163	Humber Summit	/wiki/Humber_Summit	Humber Summit, Toronto	43.7600778	-79.5717598
164	Maple Leaf	/wiki/Maple_Leaf,_Toronto	Maple Leaf, Toronto	43.7122767	-79.4901977
165	North York City Centre	/wiki/North_York_City_Centre	North York City Centre, Toronto	43.7708175	-79.4132998
166	Willowdale	/wiki/Willowdale,_Toronto	Willowdale, Toronto	43.7753558	-79.4166859823926
167	Agincourt	/wiki/Agincourt,_Toronto	Agincourt, Toronto	43.7853531	-79.2785494
168	Birch Cliff	/wiki/Birch_Cliff	Birch Cliff, Toronto	43.70211215	-79.2600905301568
169	Brown's Corners	/wiki/Brown%27s_Corners,_Toronto	Brown's Corners, Toronto	43.8129887	-79.2430221
170	Cliffcrest	/wiki/Cliffcrest	Cliffcrest, Toronto	43.7219387	-79.2362324
171	Cliffside	/wiki/Cliffside,_Toronto	Cliffside, Toronto	43.7111699	-79.2481769
172	Dorset Park	/wiki/Dorset_Park	Dorset Park, Toronto	43.7528467	-79.282067
173	Malvern	/wiki/Malvern,_Toronto	Malvern, Toronto	43.8091955	-79.2217008
174	Milliken	/wiki/Milliken,_Ontario	Milliken, Ontario, Toronto	43.8232173	-79.3015232
175	Scarborough Junction	/wiki/Scarborough_Junction	Scarborough Junction, Toronto	43.7160494	-79.2607028
176	Wexford	/wiki/Wexford,_Toronto	Wexford, Toronto	43.7453767	-79.2947155
177	Alderwood	/wiki/Alderwood,_Toronto	Alderwood, Toronto	43.6017173	-79.5452325
178	Humber Heights – Westmount	/wiki/Humber_Heights_%E2%80%93_Westmount	Humber Heights – Westmount, Toronto	43.7121949	-79.5175109823888
179	Humberwood	/wiki/Humberwood	Humberwood, Toronto	43.722525	-79.5460241478979
180	Kingsview Village	/wiki/Kingsview_Village	Kingsview Village, Toronto	43.6995391	-79.5563459
181	Smithfield	/wiki/Smithfield,_Toronto	Smithfield, Toronto	43.6311282	-79.4856441
182	Thistletown	/wiki/Thistletown	Thistletown, Toronto	43.7372656	-79.5653169
183	Lambton	/wiki/Lambton,_Toronto	Lambton, Toronto	43.6658675	-79.4992242
184	Little Jamaica	/wiki/Eglinton_West	Eglinton West, Toronto	43.7000172	-79.4363964
185	Mount Dennis	/wiki/Mount_Dennis	Mount Dennis, Toronto	43.6869597	-79.4895513
186	Governor's Bridge	/wiki/Governor%27s_Bridge,_Toronto	Governor's Bridge, Toronto	43.6894235	-79.3694257
187	Thorncliffe Park	/wiki/Thorncliffe_Park	Thorncliffe Park, Toronto	43.704553	-79.3454074
188	West Hill	/wiki/West_Hill,_Toronto	West Hill, Toronto	43.7689144	-79.1872905
189	Liberty Village	/wiki/Liberty_Village	Liberty Village, Toronto	43.6388951	-79.4179531
